type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2022-11-20T19:42:23.735+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2022-11-20T19:42:23.741+00:00,null
CALORIES_BURNED_GOAL,DAILY,3203.0,28.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-20,2022-11-21,2022-10-20T15:49:36.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-20,2022-11-21,2022-10-20T15:49:36.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-20,2022-10-21,2022-10-20T15:49:36.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-20,2022-11-21,2022-10-20T15:49:36.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-20,2022-11-21,2022-10-20T15:49:36.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,0.0,INPROGRESS_SO_FAR_MISSED,true,2022-11-20,2022-11-27,2022-10-20T15:49:36.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-20,2022-11-27,2022-10-20T15:49:36.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-16,2022-10-23,2022-10-20T15:49:36.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,22421.0,28.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-20,2022-11-27,2022-10-20T15:49:36.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-16,2022-10-23,2022-10-20T15:49:36.000+00:00,null
