type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
CALORIES_BURNED_GOAL,DAILY,2908.0,3.0,INPROGRESS_SO_FAR_MISSED,false,2022-12-02,2022-12-03,2022-10-19T17:02:26.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-12-02,2022-12-03,2022-10-19T17:02:26.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-19,2022-10-20,2022-10-19T17:02:26.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-12-02,2022-12-03,2022-10-19T17:02:26.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-12-02,2022-12-03,2022-10-19T17:02:26.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,13375.0,INPROGRESS_SO_FAR_MISSED,true,2022-11-27,2022-12-04,2022-10-19T17:02:26.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,5.67295,INPROGRESS_SO_FAR_MISSED,false,2022-11-27,2022-12-04,2022-10-19T17:02:26.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-16,2022-10-23,2022-10-19T17:02:26.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,20356.0,11774.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-27,2022-12-04,2022-10-19T17:02:26.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-16,2022-10-23,2022-10-19T17:02:26.000+00:00,null
